"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"TOYOTA", "YARIS", "LJY072A", "VNKKV12360A376565", "KOVINSKI - MODRA", "31.03.2006"
"OPEL", "ASTRA", "MBD964K", "W0L0TGF3512236047", "NAVADEN - BELA", "31.03.2006"
"VOLKSWAGEN", "GOLF", "NMF4829", "WVWZZZ1JZ1B097314", "KOVINSKI - SIVA", "30.03.2006"
"NISSAN", "PATROL GR", "LJY0577", "JN1WYGY60U0002125", "KOVINSKI - SIVA", "30.03.2006"
"APRILIA", "125 RS", "", "ZD4M60000S0000250", "NAVADEN - ČRNA", "29.03.2006"
"VOLKSWAGEN", "GOLF", "LJZ808Y", "WVWZZZ1KZ5P012554", "KOVINSKI - ČRNA", "29.03.2006"
"RENAULT", "MEGANE", "MSA9432", "VF1CM0B0H31907963", "NAVADEN - ČRNA", "29.03.2006"
"PORSCHE", "CAYENNE", "LJX413H", "WP1ZZZ9PZ5LA02430", "KOVINSKI - ČRNA", "29.03.2006"
"RENAULT", "", "LJN023J", "VF1G40B0521579935", "NAVADEN - BELA", "28.03.2006"
"VOLKSWAGEN", "GOLF", "LJP251Y", "WVWZZZ1JZ1W534498", "KOVINSKI - SIVA", "28.03.2006"
"VOLKSWAGEN", "GOLF", "LJK061P", "WVWZZZ1GZKW710885", "NAVADEN - BELA", "27.03.2006"
"RENAULT", "TWINGO", "LJZ680L", "VF1C0660516360852", "NAVADEN - RDEČA", "27.03.2006"
"VOLKSWAGEN", "GOLF", "GOA6830", "WVWZZZ1JZYD035848", "KOVINSKI - SIVA", "27.03.2006"
"RENAULT", "CLIO", "LJX976H", "VF1CBR8EF32601896", "NAVADEN - ČRNA", "27.03.2006"
"FORD", "", "000000000000", "WF0GXXPSSG3E11709", "KOVINSKI - ČRNA", "24.03.2006"
"RENAULT", "MEGANE", "LJ453LK", "VF1BMSE0634328116", "KOVINSKI - ČRNA", "24.03.2006"
"VOLKSWAGEN", "GOLF", "LJJ275X", "WVWZZZ1JZYW462253", "KOVINSKI - ČRNA", "24.03.2006"
"CITROEN", "AX", "", "VF7ZAZJ0016ZJ6719", "NAVADEN - RDEČA", "24.03.2006"
